,0
Systolic_BP,1196
LBXSATSI,792
WHtR,754
Waist,659
LBXSCK,610
LBXSBU,562
LBXSASSI,531
URDACT,510
scr_albumin_ratio,507
LBXSGL,489
LBXPLTSI,486
LBXGH,455
LBXSAL,445
LBXSLDSI,443
LBXRBCSI,439
BMI,420
LBXSGTSI,420
LBXTC,416
URXCRS,379
URXUCR,379
LBXSCA,373
LBXSPH,368
LBXSIR,364
LBXSUA,361
log_LBXGH,357
LBXSCH,356
LBXMOPCT,343
LBDLYMNO,337
LBXMCVSI,330
LBXRDW,324
chol_ratio,315
LBXSTB,311
LBDHDD,311
Exercise_days,301
LBXSKSI,300
LBXSOSSI,296
LBXSTP,294
Alcohol_days,290
LBXSAPSI,281
LBXMPSI,279
LBXSC3SI,279
non_hdl,267
LBXRDW_sq,263
glycation_gap,255
inflam_score,251
LBXMCVSI_sq,246
LBXEOPCT,246
URXUMA,233
LBXHCT,231
LBXSCLSI,229
LBXSCR,227
LBXNEPCT,225
Weight,225
LBXMC,218
LBXBAPCT,211
LBDNENO,208
LBXMCHSI,204
Height,204
LBXHGB,203
log_LBXSAPSI,198
LBXSGB,190
NLR_proxy,183
LBXWBCSI,165
URXUMS,155
CRP,155
LBXGLU,145
log_LBXSCR,144
LBXLYPCT,138
log_LBXWBCSI,123
log_LBXGLU,123
LBXSNASI,120
log_CRP,105
Smoking_status_Former,95
LBDMONO,87
LBDEONO,32
Smoking_status_Never,23
Gender,11
