,0
Systolic_BP,0.2834583
Waist,0.08695057
WHtR,0.06709003
LBXGH,0.056489684
LBXSBU,0.041749373
log_LBXGH,0.031915125
Exercise_days,0.02877583
Alcohol_days,0.020615682
Smoking_status_Former,0.017743707
LBXTC,0.017308854
LBXMCVSI,0.015326892
URXUCR,0.014062011
LBXMCVSI_sq,0.013298189
LBXSOSSI,0.012682633
URDACT,0.012434607
scr_albumin_ratio,0.0124220615
LBXSGL,0.011970779
LBXRBCSI,0.009413949
URXCRS,0.008979383
LBXSC3SI,0.008822698
LBXSAL,0.008599933
LBDLYMNO,0.008431744
LBXSATSI,0.008212256
LBXSTP,0.0070018624
LBXSCK,0.0066399877
LBXSLDSI,0.006473856
LBXRDW,0.0063641043
LBXSCH,0.0061724437
LBXPLTSI,0.0061478764
LBXRDW_sq,0.0060266703
LBXSPH,0.005634917
LBXSTB,0.005453872
chol_ratio,0.0051837484
LBXSCA,0.005084682
log_LBXGLU,0.0049649295
log_LBXSCR,0.0048127035
LBXSGTSI,0.004782941
LBXMOPCT,0.0046861037
NLR_proxy,0.004568905
LBXSASSI,0.004530098
BMI,0.0044046105
LBXSCLSI,0.0043040565
non_hdl,0.0042921486
log_LBXWBCSI,0.0040619615
LBXGLU,0.003997441
LBXSCR,0.0039107893
LBXMCHSI,0.0037028193
LBXWBCSI,0.003515468
LBXSKSI,0.0033974915
LBXLYPCT,0.0033235603
Weight,0.0032623573
glycation_gap,0.0032306751
inflam_score,0.0032097255
URXUMS,0.003204103
LBXSAPSI,0.003181906
log_LBXSAPSI,0.0031675657
URXUMA,0.0030293986
LBXHGB,0.0030021716
LBXSIR,0.0029140066
LBXSNASI,0.0028852988
LBXSGB,0.0028823195
log_CRP,0.0028769507
LBXSUA,0.0028349743
LBXMPSI,0.002821859
LBDHDD,0.0027266273
LBDNENO,0.0025764005
LBXBAPCT,0.0025557915
LBXNEPCT,0.0024745802
LBXHCT,0.0024185749
Smoking_status_Never,0.0023888643
Height,0.0023379112
LBXEOPCT,0.0022884612
LBXMC,0.0021577901
LBDMONO,0.0018741101
Gender,0.001386353
CRP,0.001336004
LBDEONO,0.0007808013
